MoPHCode	GTIN
5157	5283009050220
5158	NULL
5159	5283026900362
5161	5283026900768
5163	5283026900942
5171	5285006161190
5172	5285006161152
5173	5285006161206
5175	15285003470087
5177	5283009055232
5179	6251144101205
5180	6251144101076
5181	5283009060267
5182	366582506775
5184	5415062007952
5185	6291107933559
5186	NULL
5187	NULL
5188	NULL
5189	NULL
5190	NULL
5191	NULL
5192	5283009054990
5193	NULL
5194	7612797501184
5195	6251600000936
5196	NULL
5198	NULL
5199	5283001010932
5201	5290931028326
5202	5290931028302
5205	3592610000763
5206	6251065013625
5207	6251065013632
5208	6285074002486
5209	7612797373293
5210	5283009050466
5211	NULL
5213	3400956093557
5216	7791909319012
5220	3400933370718
5222	6285074002523
5223	15285003470643
5224	15285003470100
5225	15285003470117
5226	15285003470094
5229	5391189102438
5233	5283026901352
5234	5283026901284
5235	5283026900218
5236	5391189091466
5239	6285128010948
5240	6285128003612
5241	5034593005901
5243	6221000000935
5244	5281019902089
5245	6251160060012
5248	5283009050343
5250	7321839711961
5252	5281019902560
5253	5285006161299
5258	8002660016973
5262	3582910013402
5263	3582910017646
5264	3582910017653
5266	6291100082858
5267	5285006161213
5268	5285006161220
5269	5285006161237
5270	7796285253868
5271	7796285253875
5274	300020117550
5275	300020116553
5276	NULL
5277	NULL
5278	5283009050565
5283	5281019902393
5284	5281019903932
5285	5281019903901
5286	5281019902386
5289	6251065017630
5291	5283009050589
5292	6251154050012
5293	8901117033332
5295	625720615602
5298	6251106805653
5302	5283009055287
5306	NULL
5309	NULL
5310	NULL
5312	NULL
5313	NULL
5314	4048846009425
5315	4048846009388
5316	4048846009395
5317	4048846009418
5319	6285074002103
5325	7791909318510
5327	9003533000098
5329	6251154102025
5331	5290931028272
5332	4054839458057
5334	4054839458774
5335	300020118557
5336	5283009052231
5342	625720012371
5343	5283009000522
5345	5283009055294
5356	890111754162
5357	890111719415
5363	6297000720005
5364	5283009060168
5365	5283009055171
5366	5283009000416
5368	NULL
5374	6251158370000
5375	NULL
5376	NULL
5381	6291100085996
5382	6285147005901
5383	6285147002344
5384	6251065019412
5385	5391189120388
5386	5391189131322
5387	5283009055157
5394	NULL
5397	5283009054921
5416	7795345013626
5417	7795345013633
5419	7795345010151
5420	5283009050749
5421	NULL
5422	5283009050732
5449	5283009000287
5462	15285003470384
5464	5285006161121
5468	8718692510135
5475	5281019902034
5476	5281019902317
5478	7640129620012
5484	NULL
5485	NULL
5486	18901296202910
5487	18901296050149
5489	15285003470032
5490	7795378004615
5492	7640111933557
5493	7640111933540
5497	5283009000423
5498	5283009000430
5499	5702191010909
5500	5702191010855
5502	4054839458675
5504	5283026900126
5506	5285006161077
5507	5285006161084
5513	300020733552
5516	5281019902423
5518	5281019902416
5519	5283026900379
5520	5283026900409
5521	5413868111309
5522	10057606016468
5523	10677683065663
5524	10057606014969
5537	7795345013848
5538	7795345013855
5539	5712249103910
5540	5712249103903
5541	5712249103927
5542	771313163088
5543	6285074002110
5545	5285006160810
5546	5283009000317
5547	5283009060250
5548	5283026901017
5549	5283026901024
5554	NULL
5555	NULL
5561	7640128012481
5562	NULL
5565	5000456022774
5567	8055271669755
5569	4046222111731
5573	7613326016384
5574	7613326016780
5576	15285003470803
5577	15285003470827
5583	5283026901253
5585	6251107297013
5586	6251107299017
5587	6251107229021
5588	6251107230027
5589	771313139281
5590	6291100082605
5593	NULL
5595	4054839458750
5596	6291107935294
5599	9003533000371
5610	7640128546849
5611	7640128546856
5612	7640128547617
5613	5000456055291
5614	5283009000331
5615	5391189161657
5616	5391189150446
5617	6285147005796
5624	890111726422
5625	890111720412
5630	NULL
5633	6291107931265
5639	366582506140
5644	NULL
5647	7795345120393
5648	7795345120386
5658	NULL
5659	5283009060571
5661	5413868111330
5662	5413868111323
5666	625720616418
5667	625720615534
5669	771313171410
5670	771313171359
5671	6251065025802
5672	6251065017623
5673	3664798014112
5679	9003533000524
5683	7680326650016
5688	60148934916810
5689	NULL
5691	6251107290014
5693	5281019902522
5694	8435232336436
5695	6285147002238
5696	6285147005581
5697	6285147005574
5709	3582910029014
5710	7612797408049
5711	7612797408056
5712	7680351570013
5716	6291100081660
5717	6291100088447
5724	6281080001109
5725	6281080002649
5729	15285003470933
5730	15285003470926
5733	3664798022643
5734	5281019902478
5735	5281019902485
5742	300020115556
5758	5712249106003
5761	7730900994200
5763	8435232336689
5764	625720011688
5766	5283009050039
5768	NULL
5769	NULL
5770	366582506911
5771	366582506935
5774	5285006161107
5775	5285006161114
5776	15285003470391
5779	6251065026656
5781	3400935167156
5783	4019338600468
5784	6251599000634
5785	6251599000627
5791	5281019902584
5792	4260584150027
5795	5000456022101
5797	5000456022132
5798	6251065026649
5801	5702150149879
5802	10057606014952
5806	4048846002716
5807	4048846002723
5808	4048846002679
5811	5283009060564
5812	5283009055034
5823	5281019902515
5826	8435232336719
5827	8435232336702
5831	18907730004362
5833	18907695041013
5837	5015997535812
5838	5015997535911
5842	300020113552
5843	300020112555
5844	300020114559
5847	5281019902768
5848	7612797318218
5849	7612797318225
5856	5407005590706
5859	5281058100071
5860	3760242570330
5861	3760242570347
5863	6251107325013
5866	9003533000197
5867	9003533000180
5877	5283026900348
5878	8436024612646
5879	3400934474637
5880	5391189201025
5881	5391189221023
5882	5391189210997
5883	5391189230995
5886	6297000720012
5888	5200251681064
5889	5200251681118
5891	7612797480144
5896	5283009050213
5897	7612797267677
5900	7613326015837
5901	7613326015813
5902	7613326015820
5905	8435232336795
5910	6285147000197
5911	6285147000173
5912	8031609000506
5916	8031609000513
5927	6251599000733
5929	6251599000740
5930	6251599000290
5931	6251065030929
5938	NULL
5942	NULL
5944	NULL
5948	5290931028173
5949	18901117234359
5950	366582507505
5951	771313165525
5957	6251599001006
5958	6251599000832
5959	6251159024612
5962	NULL
5963	NULL
5966	NULL
5967	6251107195012
5968	5283026901345
5969	5283026901567
5970	5283026900751
5971	5283026900744
5976	300020106554
5979	4260584150041
5980	6291107431536
5981	771313161053
5982	771313163927
5983	771313189453
5984	7321839712197
5986	NULL
5987	6251154051019
5988	6251154211017
5989	6251154141024
5998	6285147000166
5999	5281058108527
6001	771313151917
6002	NULL
6003	10677683002804
6008	5415062332917
6012	NULL
6013	6285147000104
6014	6285147005703
6017	6251159023851
6018	6251159023868
6025	5283026901055
